time, xAcc, yAcc, zAcc, xAcc_calib, yAcc_calib, zAcc_calib, xAcc_linear, yAcc_linear, zAcc_linear, accMag
0,0.05981435,-1.022766,-0.1890869,0,0,0,0,0,0,0.01784478
0.01999855,0.05322173,-1.002991,-0.1829828,0,0,0,0,0,0,0.01304634
0.03999901,0.02587878,-0.9973757,-0.1856685,0,0,0,0,0,0,0.007706086
0.05999947,0.03124997,-0.9993284,-0.1751704,0,0,0,0,0,0,0.004482874
0.07999992,0.03173854,-1.005677,-0.180053,0,0,0,0,0,0,0.005195387
0.1000004,0.03173854,-1.005677,-0.180053,0,0,0,0,0,0,0.005576715
0.1199989,0.02734295,-1.006165,-0.1888426,0,0,0,0,0,0,0.006490684
0.1399994,0.01708915,-0.981995,-0.1849356,0,0,0,0,0,0,-0.002402579
0.1599998,0.02514593,-0.9890746,-0.18225,0,0,0,0,0,0,-0.005233967
0.1800003,0.02343748,-1.002991,-0.1829828,0,0,0,0,0,0,-0.001661162
0.1999989,0.0332027,-1.0047,-0.1942138,0,0,0,0,0,0,0.002042747
0.2199993,0.0332027,-1.0047,-0.1942138,0,0,0,0,0,0,0.004262342
0.2399998,0.04125948,-1.003968,-0.1910396,0,0,0,0,0,0,0.005175168
0.2600002,0.04467794,-1.008851,-0.180053,0,0,0,0,0,0,0.006799045
0.2799988,0.04589781,-0.9927374,-0.1824943,0,0,0,0,0,0,0.001882754
0.2999992,0.04760781,-0.9692999,-0.1837157,0,0,0,0,0,0,-0.009737014
0.3199997,0.03735401,-1.003235,-0.1707763,0,0,0,0,0,0,-0.005022511
0.3400002,0.04370079,-0.9993284,-0.1693106,0,0,0,0,0,0,-0.003584483
0.3599987,0.04248091,-1.004213,-0.1658922,0,0,0,0,0,0,-0.001086086
0.3799992,0.03662115,-0.9971314,-0.1685777,0,0,0,0,0,0,-0.00213614
0.3999996,0.03662115,-0.9971314,-0.1685777,0,0,0,0,0,0,-0.002750617
0.4200001,0.03491271,-0.9942015,-0.1802973,0,0,0,0,0,0,-0.003446833
0.4399986,0.03271413,-0.9890746,-0.1732176,0,0,0,0,0,0,-0.006251683
0.4599991,0.006835348,-0.9844363,-0.1859127,0,0,0,0,0,0,-0.00895181
0.4799995,0.006835348,-0.9844363,-0.1859127,0,0,0,0,0,0,-0.01049901
0.5,-0.003662738,-1.008118,-0.151,0,0,0,0,0,0,-0.004680823
0.5199986,0.005859758,-0.9995727,-0.1439204,0,0,0,0,0,0,-0.004719029
0.539999,0.008789637,-1.011536,-0.1602782,0,0,0,0,0,0,0.00073522
0.5599995,0.008789637,-1.011536,-0.1602782,0,0,0,0,0,0,0.004025303
0.5799999,0.002685593,-0.9988414,-0.1754147,0,0,0,0,0,0,0.002152137
0.6000004,0.000732859,-1.010559,-0.1802973,0,0,0,0,0,0,0.005706137
0.6199989,0.008545351,-1.001283,-0.1636951,0,0,0,0,0,0,0.003276064
0.6399994,0.001219875,-0.9778452,-0.2064203,0,0,0,0,0,0,-0.004005954
0.6599998,0.02832009,-1.017883,-0.1461174,0,0,0,0,0,0,0.002768472
0.6800003,0.02832009,-1.017883,-0.1461174,0,0,0,0,0,0,0.006837293
0.6999989,0.02343748,-1.023254,-0.1177973,0,0,0,0,0,0,0.009829264
0.7199993,0.01611356,-1.012512,-0.133178,0,0,0,0,0,0,0.008155363
0.7399998,0.01611356,-0.9934702,-0.1727291,0,0,0,0,0,0,0.002180167
0.7600002,0.01269511,-0.9971314,-0.1885983,0,0,0,0,0,0,0.00097454
0.7799988,0.01123094,-1.002747,-0.1492916,0,0,0,0,0,0,-0.000154326
0.7999992,0.02856438,-0.999817,-0.09435984,0,0,0,0,0,0,-0.004329603
