time, xAcc, yAcc, zAcc, xAcc_calib, yAcc_calib, zAcc_calib, xAcc_linear, yAcc_linear, zAcc_linear, accMag
0,0.03564401,-1.013245,0.06311143,0,0,0,0,0,0,-0.003286923
0.02000046,0.02417034,-0.9993284,0.04235955,0,0,0,0,0,0,-0.008020375
0.04000092,0,-1.005432,0.01721207,0,0,0,0,0,0,-0.008881981
0.06000137,0.007812493,-1.008362,0.01379517,0,0,0,0,0,0,-0.008213793
0.08000183,0.01904344,-1.009582,0.04309085,0,0,0,0,0,0,-0.006898146
0.1000023,0.01904344,-1.009582,0.04309085,0,0,0,0,0,0,-0.006037326
0.1200027,0.01928617,-1.016908,0.03967395,0,0,0,0,0,0,-0.002730018
0.1400032,-0.02368176,-1.015198,0.01818921,0,0,0,0,0,0,-0.001551186
0.1599998,0.006591061,-1.012756,0.04089383,0,0,0,0,0,0,-0.001596608
0.1800003,0.006591061,-1.012756,0.04089383,0,0,0,0,0,0,-0.001608915
0.2000008,0.006591061,-1.012756,0.04089383,0,0,0,0,0,0,-0.001601098
0.2200012,-0.008056778,-1.00763,0.03283705,0,0,0,0,0,0,-0.003635637
0.2400017,0.003418452,-1.010804,0.02575742,0,0,0,0,0,0,-0.003713464
0.2600021,0.02197176,-1.010559,0.02185195,0,0,0,0,0,0,-0.003764436
0.2800026,0.01489213,-1.005432,0.009888148,0,0,0,0,0,0,-0.005827812
0.3000031,0.01489213,-1.005432,0.009888148,0,0,0,0,0,0,-0.007019768
0.3199997,0.01293939,-1.007385,0.03259277,0,0,0,0,0,0,-0.006760153
0.3400002,0.008056778,-1.017883,0.03332562,0,0,0,0,0,0,-0.002562142
0.3600006,0.01757772,-1.003724,0.03161718,0,0,0,0,0,0,-0.005352376
0.3800011,0.01757772,-1.003724,0.03161718,0,0,0,0,0,0,-0.006988233
0.4000015,0.01415927,-1.00348,0.01159815,0,0,0,0,0,0,-0.008187785
0.420002,-0.001708448,-1.02179,0.01916636,0,0,0,0,0,0,-0.001871711
0.4400024,-0.000488573,-1.015198,0.03283705,0,0,0,0,0,0,-0.000408127
0.4600029,-0.000488573,-1.015198,0.03283705,0,0,0,0,0,0,0.000480497
0.4800034,-0.000488573,-1.015198,0.03283705,0,0,0,0,0,0,0.001013097
0.5,-0.01342796,-1.002747,0.02649028,0,0,0,0,0,0,-0.003440638
0.5200005,0.000244286,-1.007874,0.02942016,0,0,0,0,0,0,-0.004155956
0.5400009,0.01928617,-1.013489,0.04211526,0,0,0,0,0,0,-0.002176109
0.5600014,-0.01318368,-1.013001,0.02111909,0,0,0,0,0,0,-0.001430092
0.5800018,-0.01318368,-1.013001,0.02111909,0,0,0,0,0,0,-0.000965569
0.6000023,-0.01171952,-1.002747,0.01550362,0,0,0,0,0,0,-0.004616721
0.6200027,-0.0229489,-1.017395,0.01599219,0,0,0,0,0,0,-0.001139309
0.6400032,-0.006835348,-1.009095,0.01721207,0,0,0,0,0,0,-0.002261731
0.6599998,0.009765226,-1.003235,0.0286873,0,0,0,0,0,0,-0.005036156
0.6800003,0.009765226,-1.003235,0.0286873,0,0,0,0,0,0,-0.006665474
0.7000008,0.000732859,-1.019105,0.0260017,0,0,0,0,0,0,-0.001604518
0.7200012,-0.01147523,-1.008118,0.01159815,0,0,0,0,0,0,-0.00278078
0.7400017,-0.02392605,-1.016419,0.01525933,0,0,0,0,0,0,-0.000210717
0.7600021,-0.00927821,-0.9983528,0.02819872,0,0,0,0,0,0,-0.005503124
0.7800026,-0.00927821,-0.9983528,0.02819872,0,0,0,0,0,0,-0.008650103
0.8000031,0.005859758,-1.001283,0.01159815,0,0,0,0,0,0,-0.009492569
0.8199997,-0.005615472,-1.004213,0.002808514,0,0,0,0,0,0,-0.008822841
0.8400002,-0.04467794,-1.000306,-0.0345455,0,0,0,0,0,0,-0.009221007
0.8600006,-0.04956055,-0.9756466,-0.03478979,0,0,0,0,0,0,-0.01863647
0.8800011,0.002929879,-0.9971314,0.03503563,0,0,0,0,0,0,-0.01646474
0.9000015,0.05346601,-1.028137,0.06897119,0,0,0,0,0,0,-0.002043987
0.920002,0.04711924,-1.028626,0.02771015,0,0,0,0,0,0,0.006025137
0.9400024,-0.01367225,-1.0318,-0.006225409,0,0,0,0,0,0,0.01154183
0.9600029,-0.07006814,-1.008362,0.02722314,0,0,0,0,0,0,0.006882505
0.9800034,-0.01806629,-1.013245,0.05261335,0,0,0,0,0,0,0.005372552
1,-0.01806629,-1.013245,0.05261335,0,0,0,0,0,0,0.004408749
1.02,0.01928617,-1.03302,0.05920441,0,0,0,0,0,0,0.01143125
1.040001,-0.01293939,-1.019593,0.05529894,0,0,0,0,0,0,0.01035383
1.060001,-0.04492222,-1.005432,0.03430277,0,0,0,0,0,0,0.004225748
1.080002,-0.04492222,-1.005432,0.03430277,0,0,0,0,0,0,0.000481146
1.100002,-0.0358883,-1.007385,0.03552264,0,0,0,0,0,0,-0.001167673
1.120003,-0.0358883,-1.007385,0.03552264,0,0,0,0,0,0,-0.002153293
1.140003,-0.0358883,-1.007385,0.03552264,0,0,0,0,0,0,-0.002728637
1.16,-0.01611356,-1.0047,0.03674408,0,0,0,0,0,0,-0.004247328
1.18,-0.00952094,-0.9937145,0.02160766,0,0,0,0,0,0,-0.009497105
1.200001,-0.01879915,-0.9910289,0.01916636,0,0,0,0,0,0,-0.01356933
