time, xAcc, yAcc, zAcc, xAcc_calib, yAcc_calib, zAcc_calib, xAcc_linear, yAcc_linear, zAcc_linear, accMag
0,-0.02392605,-1.003724,-0.04064799,0,0,0,0,0,0,-0.000656396
0.01999998,-0.02392605,-1.003724,-0.04064799,0,0,0,0,0,0,-0.001099822
0.03999996,-0.02392605,-1.003724,-0.04064799,0,0,0,0,0,0,-0.001357441
0.05999994,0.006104045,-1.00641,-0.06603976,0,0,0,0,0,0,-7.12E-05
0.07999992,0.006104045,-1.00641,-0.06603976,0,0,0,0,0,0,0.000707083
0.0999999,-0.007568206,-1.015442,-0.03845097,0,0,0,0,0,0,0.004060859
0.1199999,-0.01074237,-1.007141,-0.0242917,0,0,0,0,0,0,0.00274106
0.1399999,-0.002441307,-1.012756,-0.04675203,0,0,0,0,0,0,0.004328959
0.1599998,-0.01293939,-1.016663,-0.04162513,0,0,0,0,0,0,0.006676383
0.1799998,-0.01293939,-1.016663,-0.04162513,0,0,0,0,0,0,0.008031947
0.1999998,-0.01293939,-1.016663,-0.04162513,0,0,0,0,0,0,0.008775092
0.2199998,-0.02856438,-1.01886,-0.03259277,0,0,0,0,0,0,0.009971008
0.2399998,-0.04614209,-1.010071,-0.07849058,0,0,0,0,0,0,0.008465257
0.2599998,-0.01733343,-1.003724,-0.08166474,0,0,0,0,0,0,0.00482364
0.2799997,-0.01733343,-1.003724,-0.08166474,0,0,0,0,0,0,0.002576438
0.2999997,-0.01269511,-1.002991,-0.04431073,0,0,0,0,0,0,2.21E-07
0.3199997,-0.0358883,-1.008118,-0.04772918,0,0,0,0,0,0,0.000660378
0.3399997,-0.0256345,-1.010071,-0.06555118,0,0,0,0,0,0,0.002054441
0.3599997,-0.03735401,-1.011048,-0.03576538,0,0,0,0,0,0,0.002820461
0.3799996,-0.0383296,-1.003235,-0.0379624,0,0,0,0,0,0,0.000336428
0.3999996,-0.03613258,-1.003724,-0.05456452,0,0,0,0,0,0,-0.000723634
0.4199996,-0.03686544,-1.008607,-0.06921392,0,0,0,0,0,0,0.000844649
0.4399996,-0.03540128,-1.008118,-0.05676154,0,0,0,0,0,0,0.001284759
0.46,-0.0222176,-1.005188,-0.06091285,0,0,0,0,0,0,0.000376534
0.48,-0.02026331,-1.022766,-0.06188845,0,0,0,0,0,0,0.006496745
0.5,-0.03222711,-1.028381,-0.05944714,0,0,0,0,0,0,0.01232541
0.52,-0.04687496,-1.025451,-0.05041477,0,0,0,0,0,0,0.01465154
0.54,-0.03540128,-1.009827,-0.05871584,0,0,0,0,0,0,0.009987406
0.5599999,-0.03540128,-1.009827,-0.05871584,0,0,0,0,0,0,0.007073042
0.5799999,-0.06616268,-0.9739382,-0.06384274,0,0,0,0,0,0,-0.007631434
0.5999999,-0.06616268,-0.9739382,-0.06384274,0,0,0,0,0,0,-0.01644778
0.6199999,-0.04931626,-1.022766,-0.05017048,0,0,0,0,0,0,-0.003793631
0.6399999,-0.04931626,-1.022766,-0.05017048,0,0,0,0,0,0,0.003891855
0.6599998,-0.0786135,-0.9942015,-0.0550531,0,0,0,0,0,0,-0.001515833
0.6799998,-0.06616268,-0.9966428,-0.04186942,0,0,0,0,0,0,-0.004431935
0.6999998,-0.06079149,-1.014466,-0.04089227,0,0,0,0,0,0,0.000457414
0.7199998,-0.05737304,-1.010071,-0.05383167,0,0,0,0,0,0,0.001896849
0.7399998,-0.07788064,-1.00348,-0.06628404,0,0,0,0,0,0,0.001056999
0.7599998,-0.0837404,-0.9883433,-0.06237702,0,0,0,0,0,0,-0.005097542
0.7799997,-0.06445267,-1.00055,-0.0523675,0,0,0,0,0,0,-0.00491393
0.7999997,-0.06445267,-1.00055,-0.0523675,0,0,0,0,0,0,-0.004756286
0.8199997,-0.07299802,-1.015931,-0.06457404,0,0,0,0,0,0,0.001693806
0.8399997,-0.07299802,-1.015931,-0.06457404,0,0,0,0,0,0,0.005576806
0.8599997,-0.07690505,-1.006654,-0.05651726,0,0,0,0,0,0,0.004289002
0.8799996,-0.08813444,-1.005921,-0.05358738,0,0,0,0,0,0,0.003480235
0.8999996,-0.08813444,-1.005921,-0.05358738,0,0,0,0,0,0,0.002958279
0.9199996,-0.06713826,-1.022523,-0.04894905,0,0,0,0,0,0,0.008199804
